Source IP,Source Port,Destination IP,Destination Port,Flags
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,A
192.168.0.101,53639,104.18.48.70,443,A
104.18.48.70,443,192.168.0.101,53639,PA
104.18.48.70,443,192.168.0.101,53639,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
192.168.0.101,53639,104.18.48.70,443,PA
