Source IP,Source Port,Destination IP,Destination Port,Traffic Type,Timestamp
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:49.335379
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:50.187004
192.168.0.100,53302,104.26.7.95,443,Normal,2024-10-13 21:49:50.819545
104.26.7.95,443,192.168.0.100,53302,Normal,2024-10-13 21:49:50.839489
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:51.865674
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:49:55.209999
192.168.0.100,52238,74.125.206.188,5228,Normal,2024-10-13 21:49:59.900556
192.168.0.100,53310,20.250.77.142,443,Normal,2024-10-13 21:50:01.912611
192.168.0.100,53200,172.64.155.209,443,Normal,2024-10-13 21:50:04.234004
192.168.0.100,53385,3.233.158.25,443,Normal,2024-10-13 21:50:05.432778
192.168.0.100,53387,172.67.9.124,443,SYN Flood,2024-10-13 21:50:05.454722
192.168.0.100,53388,172.67.9.124,443,SYN Flood,2024-10-13 21:50:05.695154
172.67.9.124,443,192.168.0.100,53388,Normal,2024-10-13 21:50:05.795888
192.168.0.100,53388,172.67.9.124,443,Normal,2024-10-13 21:50:05.820818
192.168.0.100,53388,172.67.9.124,443,Normal,2024-10-13 21:50:05.843760
192.168.0.100,53388,172.67.9.124,443,Normal,2024-10-13 21:50:05.863703
172.67.9.124,443,192.168.0.100,53388,Normal,2024-10-13 21:50:05.882653
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:22:31.310811
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:22:31.415579
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:22:31.740715
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:22:31.761792
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:22:31.775754
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:22:31.790683
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:22:31.804677
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:22:31.818893
192.168.0.100,52162,93.158.134.119,443,Normal,2024-10-13 23:22:35.879464
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:36.868841
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:36.889777
35.190.80.1,443,192.168.0.100,52256,Normal,2024-10-13 23:22:36.944699
35.190.80.1,443,192.168.0.100,52256,Normal,2024-10-13 23:22:36.959693
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:36.987618
35.190.80.1,443,192.168.0.100,52256,Normal,2024-10-13 23:22:37.103364
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:37.126306
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:37.151237
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:37.180194
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:37.195327
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:22:37.210289
192.168.0.100,52256,35.190.80.1,443,Normal,2024-10-13 23:41:24.966515
35.190.80.1,443,192.168.0.100,52256,Normal,2024-10-13 23:41:24.995716
192.168.0.100,52403,185.221.87.23,443,Normal,2024-10-13 23:41:25.150576
192.168.0.100,52245,46.32.182.121,443,Normal,2024-10-13 23:41:25.177497
185.221.87.23,443,192.168.0.100,52403,Normal,2024-10-13 23:41:25.213400
192.168.0.100,51976,104.26.6.95,443,Normal,2024-10-13 23:41:25.233384
104.26.6.95,443,192.168.0.100,51976,Normal,2024-10-13 23:41:25.250337
